title,isbn,authors,publishedAt
Beautiful cooking,5454-5587-3210,null-walter@echocat.org,21.05.2011
Cooking for gourmets,2365-5632-7854,"null-lieblich@echocat.org,null-walter@echocat.org",01.05.2012
Das große GU-Kochbuch Kochen für Kinder,2145-8548-3325,"null-ferdinand@echocat.org,null-lieblich@echocat.org",
Das Perfekte Dinner. Die besten Rezepte,2221-5548-8585,null-lieblich@echocat.org,
Das Piratenkochbuch. Ein Spezialitätenkochbuch mit den 150 leckersten Rezepten ,3214-5698-7412,null-rabe@echocat.org,
Genial italienisch,1024-5245-8584,"null-lieblich@echocat.org,null-walter@echocat.org,null-rabe@echocat.org",
Gourmet,2365-8745-7854,null-ferdinand@echocat.org,14.06.2010
Ich helfe dir kochen. Das erfolgreiche Universalkochbuch mit großem Backteil,5554-5545-4518,null-walter@echocat.org,
My familie and me,4545-8541-2012,null-mueller@echocat.org,10.07.2011
O'Reillys Kochbuch für Geeks,2215-0012-5487,null-mueller@echocat.org,
Schlank im Schlaf ,4545-8558-3232,null-gustafsson@echocat.org,
Schuhbecks Kochschule. Kochen lernen mit Alfons Schuhbeck ,1215-4545-5895,null-walter@echocat.org,
The Wine Connoisseurs,2547-8548-2541,null-walter@echocat.org,12.12.2011
Vinum,1313-4545-8875,null-gustafsson@echocat.org,23.02.2012
